Feature_id	Mean_decrease_in_accuracy	Standard_deviation
361809	6.62697510972749e-06	5.24539253587977e-05
177351	-3.81415532394244e-07	4.3069685540319e-05
184464	-5.56277052662994e-06	4.12385328391492e-05
24773	-5.60973472817713e-06	9.65697598597653e-05
174902	-7.09177204552257e-06	1.9745562891345e-05
New.0.ReferenceOTU11	-1.29690976105807e-05	4.80813935938959e-05
16076	-1.34498168232817e-05	3.46976667471881e-05
198251	-1.53908421863221e-05	0.000100258968865803
199293	-1.71595643627836e-05	3.61869677714621e-05
295190	-1.81704752512149e-05	6.15932922869919e-05
471308	-1.87953999146844e-05	0.000109606120135394
586732	-2.41161546170105e-05	2.90260396826212e-05
470139	-5.23181403698966e-05	9.86141312135956e-05
108747	-5.27004613863655e-05	0.00014061404738627
301004	-5.27608459753723e-05	7.93084254078574e-05
316587	-9.66990302656837e-05	9.02353286142804e-05
305760	-0.000122926025189026	0.000225223429457641
Feature_id	Mean_decrease_in_accuracy	Standard_deviation
217996	0.00316800728807397	0.000587999455202992
72820	0.00105520913638796	0.000392971358124065
189827	0.00103461694383273	0.00022819039095395
326792	0.000817665542517811	0.000267965763444835
561483	0.000736998143351836	0.000315515183450839
194745	0.000611595176015126	0.000230788823676248
364234	0.000504988491543797	0.000104386911346818
261912	0.000467140593772187	0.00011289458500128
191687	0.000422462053249785	0.000182235495035375
533785	0.00038491062488899	8.52149885983812e-05
470663	0.000369209515200264	0.000167717319670109
13823	0.000360594703600218	0.000154656751714603
210269	0.000318243078885774	0.000226607126410673
561636	0.00027563695631349	0.000267556998679225
303304	0.000217402316933398	0.000149689732363206
469873	0.000215048990365236	0.00012374912409083
48207	0.000203730702539629	6.00677951419574e-05
9514	0.000190258559289852	6.87625996270218e-05
185951	0.000188237210590121	5.65135282190142e-05
195574	0.000184408447244127	0.000132586268843815
162427	0.000166389267970181	9.97009791307492e-05
181834	0.000164770601647374	0.00010109691697976
579564	0.00012789368195337	6.75569625318486e-05
212619	0.000126706835573065	8.93799862499388e-05
130663	0.000105248036349136	0.000113375598245676
292424	0.000104414903296536	0.000214472753016039
295024	0.000101435500219872	8.78866741287929e-05
287510	0.00010045563806561	0.000111150728277356
469868	9.63728756620819e-05	6.76595845181109e-05
268604	8.38213140562587e-05	5.89453933272983e-05
309068	8.05469755860093e-05	0.000121697233837918
259261	7.68271929869012e-05	7.61760271783952e-05
302844	6.96817532683555e-05	0.000129095479991742
554755	6.88357073116384e-05	0.000142360884421878
New.0.ReferenceOTU576	6.59409987185817e-05	7.68941369227962e-05
326977	6.42991905570876e-05	0.000148907470488849
563485	6.11380299005852e-05	7.74448090538643e-05
352379	5.2487514831348e-05	5.32705352754508e-05
15382	4.89961593973481e-05	0.000107725975072974
178122	4.8313615544854e-05	6.03896871316345e-05
365758	4.81616812565928e-05	8.20770074646234e-05
186029	4.60938163930184e-05	0.000142946632736181
179287	4.55563968916822e-05	5.48898692113644e-05
15141	4.05347906506362e-05	6.33319812299156e-05
274208	3.90429158268189e-05	5.82268092671091e-05
99826	3.69708070743985e-05	4.65130307295154e-05
199293	3.55029884157722e-05	5.67308076743416e-05
175682	3.4070218115455e-05	5.37741817317666e-05
517331	2.91177393342862e-05	6.75318102695993e-05
323257	2.77222410220998e-05	8.53360033770508e-05
139221	2.64945094886407e-05	6.5639246492985e-05
545371	2.25885867919369e-05	4.83776363909188e-05
178146	1.7617752137014e-05	3.6817350325792e-05
177351	1.73712714266214e-05	5.46723665521645e-05
148099	1.70787306669542e-05	5.98076679077883e-05
352304	1.62278271166573e-05	3.50284214335813e-05
New.0.ReferenceOTU11	7.62474369815762e-06	2.47538798430131e-05
248563	6.54108450105939e-06	3.91731797684285e-05
198251	6.50953330981301e-06	7.92640245491016e-05
540230	6.41921128757929e-06	0.000219236401691904
209122	4.70769224911945e-06	3.4601742142248e-05
174902	4.21753679022516e-06	4.08915309627001e-05
145149	3.41551098794368e-06	0.00012391566393407
312461	5.71104844334778e-07	4.97370400541101e-05
16076	4.32708786213098e-07	3.17643235959486e-05
469852	-5.0483940347184e-06	0.000132555356332626
307981	-6.51095894633906e-06	0.000132511609362313
170124	-1.1161099626683e-05	0.000111085808987965
24773	-1.76980063271025e-05	0.000152491438754228
361809	-1.84343926340542e-05	8.10416540275428e-05
184464	-1.90301377933513e-05	5.38381095503838e-05
295190	-2.10800506913397e-05	4.96937683589221e-05
325608	-2.54586632177226e-05	5.86046747192095e-05
586732	-3.29958565572591e-05	3.24392045161697e-05
259422	-3.31501371601594e-05	0.000100899847526417
108747	-3.83887848791368e-05	0.000183643612544965
301004	-4.21280753904528e-05	0.000151615911685792
471308	-6.63403676477547e-05	7.48036895914725e-05
470139	-7.46464027571427e-05	9.33518891441249e-05
316587	-0.000115525804918746	0.000101457229487127
305760	-0.000122522634825068	0.000195528959606421
